System.number,opcode,latitude_dd,longitude_dd,date_time,site,location,status,depth_m,successful_count,successful_length,observer_count,observer_length,Left.cam,Right.cam,Rear.cam,Video.notes,Raw.hdd.number,FishNClips.saved,Forwards.habitat.image.saved,Backwards.habitat.image.saved,successful_habitat_forward,successful_habitat_backward,successful_relief_forward,successful_relief_backward,observer_habitat_forward,observer_habitat_backward,Maxn.complete.date,Maxn.checker,Length.complete.date,Length.new.measurement.rules.complete.date,Labridaesp1.complete.date,comment
3,12,-34.1324866663746,114.881648333705,2023-03-15T10:18:53+08:00,,,No-take,42.6,Yes,Yes,Daniel Agnello,Gidget Mirrabelle,31,32,21,,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Hannah Williams,Hannah Williams,02/06/2023,Gidget Neunuebel,31/07/2023,,,"Catshark, Port Jackson, and Stingarees (second half of video has 2 smoothrays fighting over the baitbag)"
4,44,-34.1180483330741,114.859756666912,2023-03-15T10:31:56+08:00,,,No-take,44.1,Yes,Yes,Gidget Mirrabelle,Levi Peters,33,34,22,no sample number in video,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Hannah Williams,Hannah Williams,07/07/2023,Claude Spencer,04/08/2023,,,"catshark, portjackson, stingray"
4,24,-34.1178883331815,114.848546666839,2023-03-15T10:39:03+08:00,,,No-take,45.6,Yes,Yes,Daniel Agnello,Gidget Mirrabelle,35,36,23,,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Hannah Williams,Hannah Williams,05/07/2023,Gidget Neunuebel,01/08/2023,,,"Snapper, Dhufish, Catshark, Whiskery sharks, Multiple species of rays"
6,36,-34.1153466666995,114.861338333328,2023-03-15T10:45:39+08:00,,,No-take,44,Yes,Yes,Daniel Agnello,Gidget Mirrabelle,37,38,24,,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Hannah Williams,Hannah Williams,09/06/2023,Gidget Neunuebel,27/07/2023,,,
7,16,-34.1139499996289,114.859710000332,2023-03-15T10:52:02+08:00,,,No-take,45.4,Yes,Yes,Gidget Mirrabelle,Levi Peters,39,40,25,,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Hannah Williams,Hannah Williams,03/07/2023,Claude Spencer,13/07/2023,01/08/2023,,
8,17,-34.0963466663623,114.857579999572,2023-03-15T11:00:45+08:00,,,No-take,43.3,Yes,Yes,Gidget Mirrabelle,Levi Peters,41,42,26,,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Hannah Williams,Hannah Williams,03/07/2023,Claude Spencer,14/07/2023,01/08/2023,,Accidental dot placement
1,34,-34.0986250001359,114.890556666765,2023-03-18T10:12:23+08:00,,,No-take,43.7,Yes,Yes,Gidget Mirrabelle,Levi Peters,27,28,19,,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Hannah Williams,Hannah Williams,03/07/2023,Claude Spencer,14/07/2023,01/08/2023,,
2,40,-34.0880566668169,114.888696666341,2023-03-18T10:18:44+08:00,,,No-take,43.7,Yes,Yes,Gidget Mirrabelle,Levi Peters,29,30,20,,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Hannah Williams,Hannah Williams,05/07/2023,Claude Spencer,20/07/2023,02/08/2023,,
3,14,-34.0753033331801,114.868603333323,2023-03-18T10:28:07+08:00,,,No-take,42.7,Yes,Yes,Gidget Mirrabelle,Levi Peters,31,32,21,Forgot to sync. chop after retreive,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Hannah Williams,Hannah Williams,05/07/2023,Claude Spencer,25/07/2023,,,
4,21,-34.0643833332165,114.857485000035,2023-03-18T10:34:59+08:00,,,No-take,42.3,Yes,Yes,Gidget Mirrabelle,Levi Peters,33,34,22,Forgot to sync. chop after retreive,1,Yes,Yes,No,Yes,No,Yes,No,Hannah Williams,Hannah Williams,05/07/2023,Claude Spencer,20/07/2023,01/08/2023,,No backwards on raw or backup
5,10,-34.0838750003137,114.85330499978,2023-03-18T10:44:55+08:00,,,No-take,44.3,Yes,Yes,Gidget Mirrabelle,Levi Peters,35,36,23,Forgot to sync. chop after retreive,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Hannah Williams,Hannah Williams,06/07/2023,Claude Spencer,21/07/2023,02/08/2023,,"at start, cant see baitbag to determine feeding. C. auricularis, O. lineolata, and B. brevicaudata were defintely feeding but didnt record feeding at all. "
6,15,-34.0847750001052,114.844403333118,2023-03-18T10:50:22+08:00,,,No-take,45.3,Yes,Yes,Gidget Mirrabelle,Levi Peters,37,38,24,,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Hannah Williams,Hannah Williams,06/07/2023,Claude Spencer,21/07/2023,02/08/2023,,
7,8,-34.0903650000918,114.838835000065,2023-03-18T10:56:29+08:00,,,No-take,47.2,Yes,Yes,Levi Peters,Gidget Mirrabelle,39,40,25,,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Hannah Williams,Hannah Williams,09/06/2023,Brooke Gibbons,13/07/2023,01/08/2023,,length checked by Claude
8,46,-34.095688333333,114.839820000079,2023-03-18T11:01:41+08:00,,,No-take,46.3,Yes,Yes,Levi Peters,Gidget Mirrabelle,41,42,26,,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Hannah Williams,Hannah Williams,07/07/2023,Brooke Gibbons,17/07/2023,01/08/2023,,cant see baitbag to determine feeding
1,39,-34.1157700002226,114.793698332944,2023-03-18T12:44:07+08:00,,,No-take,64.3,Yes,Yes,Levi Peters,Gidget Mirrabelle,27,28,19,,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Hannah Williams,Hannah Williams,29/06/2023,Brooke Gibbons,24/07/2023,01/08/2023,03/08/2023,
2,31,-34.1171416664843,114.788091666982,2023-03-18T12:48:30+08:00,,,No-take,66.1,Yes,Yes,Levi Peters,Gidget Mirrabelle,29,30,20,check venusta ID,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Hannah Williams,Hannah Williams,29/06/2023,Brooke Gibbons,19/07/2023,01/08/2023,,53 minutes long
3,19,-34.1204700001631,114.782216667057,2023-03-18T13:01:34+08:00,,,No-take,73.6,Yes,Yes,Gidget Mirrabelle,Levi Peters,31,32,21,16 bifurcatus check comments in points and 1 in 3D measurements,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Hannah Williams,Hannah Williams,23/06/2023,Levi Peters,25/07/2023,,,
4,47,-34.1141316667699,114.780438333375,2023-03-18T13:05:50+08:00,,,No-take,73,Yes,Yes,Levi Peters,Gidget Mirrabelle,33,34,22,1 comment 'claude' and 1 unknown,1,Yes,Yes,No,Yes,No,Yes,No,Hannah Williams,Hannah Williams,22/06/2023,Brooke Gibbons,21/07/2023,01/08/2023,03/08/2023,No backwards on raw or backup
5,22,-34.1100249999854,114.777933333594,2023-03-18T13:10:35+08:00,,,No-take,78,Yes,Yes,Levi Peters,Gidget Mirrabelle,35,36,23,,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Hannah Williams,Hannah Williams,23/06/2023,Brooke Gibbons,19/07/2023,01/08/2023,03/08/2023,was hard to length measure the S bifurcatus
6,6,-34.0973949999358,114.7766616668,2023-03-18T13:17:26+08:00,,,No-take,71.3,Yes,Yes,Levi Peters,Gidget Mirrabelle,37,38,24,,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Hannah Williams,Hannah Williams,22/06/2023,Brooke Gibbons,24/07/2023,01/08/2023,02/08/2023,
7,7,-34.0962300003111,114.785401666355,2023-03-18T13:24:27+08:00,,,No-take,62.7,Yes,Yes,Levi Peters,Gidget Mirrabelle,39,40,25,,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Hannah Williams,Hannah Williams,06/07/2023,Brooke Gibbons,25/07/2023,01/08/2023,03/08/2023,
8,45,-34.107230000273,114.789333333639,2023-03-18T13:31:40+08:00,,,No-take,61.9,Yes,Yes,Henry Evans,Sharnae Watson,41,42,26,,1,Yes,Yes,Yes,Yes,No,Yes,Yes,Hannah Williams,Hannah Williams,05/04/2023,Gidget Neunuebel,02/08/2023,02/08/2023,03/08/2023,check A. maculatus ID. Lengths have been checked
