period,latitude_dd,longitude_dd,date_time,site,location,status,depth_m,successful_count,successful_length,observer_count,observer_length,FishNClips.saved,Panoramic.habitat.image.saved,successful_habitat_panoramic,Successful.Habitat.Relief,observer_habitat_panoramic,Raw.hdd.number,Con.hdd.number,Maxn.complete.date,Maxn.checker,Length.complete.date,comment
13,-34.1146033332762,114.906471666801,2023-03-13 10:13:01,,South-west Corner,No-take,45.7,Yes,Yes,Gidget Mirrabelle,Levi Peters,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,04/08/2023,Levi Peters,21/08/2023,
88,-34.1044333335521,114.915028333681,2023-03-13 10:25:21,,South-west Corner,No-take,45.1,Yes,Yes,Gidget Mirrabelle,Levi Peters,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,08/08/2023,Levi Peters,24/08/2023,Board showed 52 - Andy changed order
52,-34.109579999808,114.927455000298,2023-03-13 10:36:59,,South-west Corner,No-take,46.9,Yes,Yes,Gidget Mirrabelle,Levi Peters,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,08/08/2023,Levi Peters,24/08/2023,Cams good before
38,-34.0969233334481,114.92820666651,2023-03-13 10:49:16,,South-west Corner,No-take,46.5,Yes,Yes,Gidget Mirrabelle,Levi Peters,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,08/08/2023,Levi Peters,12/09/2023,Resynced before drop
89,-34.0959400000605,114.920108333562,2023-03-13 10:59:08,,South-west Corner,No-take,45.8,Yes,Yes,Gidget Mirrabelle,Levi Peters,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,08/08/2023,Levi Peters,31/08/2023,Checked cams before
19,-34.0915933333797,114.917186666407,2023-03-13 11:08:19,,South-west Corner,No-take,45.5,Yes,Yes,Gidget Mirrabelle,Levi Peters,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,08/08/2023,Levi Peters,31/08/2023,
66,-34.0848550001527,114.892688333001,2023-03-13 11:21:53,,South-west Corner,No-take,43.9,Yes,Yes,Gidget Mirrabelle,Levi Peters,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,08/08/2023,Levi Peters,31/08/2023,
43,-34.0851066663522,114.876696666247,2023-03-13 11:33:23,,South-west Corner,No-take,42.9,Yes,Yes,Gidget Mirrabelle,Levi Peters,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,09/08/2023,Levi Peters,31/08/2023,Cams checked before
23,-34.1017733331336,114.881660000126,2023-03-13 11:46:08,,South-west Corner,No-take,43.2,Yes,Yes,Gidget Mirrabelle,Levi Peters,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,09/08/2023,Levi Peters,31/08/2023,
61,-34.103453333496,114.86115333338,2023-03-13 12:00:12,,South-west Corner,No-take,44.3,Yes,Yes,Gidget Mirrabelle,Levi Peters,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,09/08/2023,Levi Peters,31/08/2023,
63,-34.1071499998014,114.847701666567,2023-03-13 12:12:44,,South-west Corner,No-take,46.3,Yes,Yes,Gidget Mirrabelle,Levi Peters,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,10/08/2023,Levi Peters,31/08/2023,Checked cams before
86,-34.1081850002936,114.847336666694,2023-03-13 12:20:47,,South-west Corner,No-take,45.5,Yes,Yes,Gidget Mirrabelle,Levi Peters,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,10/08/2023,Levi Peters,31/08/2023,
77,-34.1139283330911,114.821981666595,2023-03-13 12:37:36,,South-west Corner,No-take,50.7,Yes,Yes,Gidget Mirrabelle,Levi Peters,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,10/08/2023,Levi Peters,31/08/2023,
10,-34.1062450000296,114.790356666563,2023-03-13 12:54:42,,South-west Corner,No-take,62.9,Yes,Yes,Gidget Mirrabelle,Levi Peters,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,10/08/2023,Levi Peters,12/09/2023,Board showed 42. Resync
42,-34.1131583336684,114.781293333692,2023-03-13 13:08:45,,South-west Corner,No-take,72.3,Yes,Yes,Gidget Mirrabelle,Levi Peters,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,10/08/2023,Levi Peters,12/09/2023,
11,-34.1149900003013,114.789059999654,2023-03-13 13:19:03,,South-west Corner,No-take,64.7,Yes,Yes,Gidget Mirrabelle,Levi Peters,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,11/08/2023,Levi Peters,12/09/2023,pulls up 10sec early
80,-34.119531666555,114.787421666612,2023-03-13 13:28:55,,South-west Corner,No-take,67.4,Yes,Yes,Gidget Mirrabelle,Levi Peters,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,11/08/2023,Levi Peters,12/09/2023,All cams good before
68,-34.121171666829,114.781474999992,2023-03-13 13:38:50,,South-west Corner,No-take,76.5,Yes,Yes,Gidget Mirrabelle,Levi Peters,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,11/08/2023,Levi Peters,12/09/2023,
32,-34.1056400000474,114.779826666904,2023-03-13 13:52:50,,South-west Corner,No-take,72.6,Yes,Yes,Gidget Mirrabelle,Levi Peters,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,11/08/2023,Levi Peters,12/09/2023,All cams good before
74,-34.1023016665324,114.779346666505,2023-03-13 14:01:31,,South-west Corner,No-take,71.4,Yes,Yes,Gidget Mirrabelle,Levi Peters,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,11/08/2023,Levi Peters,12/09/2023,
18,-34.0988983329871,114.775405000074,2023-03-13 14:10:09,,South-west Corner,No-take,74.5,Yes,Yes,Gidget Mirrabelle,Levi Peters,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,11/08/2023,Levi Peters,12/09/2023,
20,-34.1211600000846,114.804348333151,2023-03-13 14:31:33,,South-west Corner,No-take,61.8,Yes,Yes,Gidget Mirrabelle,Levi Peters,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,11/08/2023,Levi Peters,12/09/2023,
03,-34.1352400001257,114.809395000145,2023-03-13 14:45:37,,South-west Corner,No-take,57.5,Yes,Yes,Gidget Mirrabelle,Levi Peters,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,14/08/2023,Levi Peters,12/09/2023,Checked cams before
64,-34.1331633334668,114.832274999702,2023-03-13 15:00:01,,South-west Corner,No-take,49.8,Yes,Yes,Gidget Mirrabelle,Levi Peters,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,14/08/2023,Levi Peters,12/09/2023,Showed 60 first then 64 - ran out of time
25,-34.0827916669719,114.917778333684,2023-03-14 07:54:09,,South-west Corner,No-take,47.3,Yes,Yes,Levi Peters,Gidget Mirrabelle,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,07/08/2023,Gidget Neunuebel,14/08/2023,
36,-34.0806849996388,114.915588333548,2023-03-14 08:01:40,,South-west Corner,No-take,46.2,Yes,Yes,Levi Peters,Gidget Mirrabelle,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,07/08/2023,Gidget Neunuebel,15/08/2023,pulls up 20sec early
73,-34.0682866667728,114.90999833313,2023-03-14 08:14:32,,South-west Corner,No-take,46.7,Yes,Yes,Levi Peters,Gidget Mirrabelle,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,10/08/2023,Gidget Neunuebel,15/08/2023,/ Gidget Redo MAxN and got the same as levi
85,-34.0665766667564,114.91352166671,2023-03-14 08:23:49,,South-west Corner,No-take,48.2,Yes,Yes,Levi Peters,Gidget Mirrabelle,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,10/08/2023,Gidget Neunuebel,15/08/2023,"Checked all cameras, tips over then corrects itself. Gidget Redo MAxN and got 12 C. klunzingeri where levi got 10 and 2 biserilis where levi got 1"
51,-34.0613116666812,114.914263333775,2023-03-14 08:34:01,,South-west Corner,No-take,49.4,Yes,Yes,Levi Peters,Gidget Mirrabelle,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,10/08/2023,Gidget Neunuebel,15/08/2023,no fish
84,-34.0578450000188,114.911621667002,2023-03-14 08:44:01,,South-west Corner,No-take,49.7,Yes,Yes,Levi Peters,Gidget Mirrabelle,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,10/08/2023,Gidget Neunuebel,15/08/2023,
22,-34.0564599997515,114.906524999779,2023-03-14 08:52:26,,South-west Corner,No-take,45.5,Yes,Yes,Levi Peters,Gidget Mirrabelle,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,10/08/2023,Gidget Neunuebel,15/08/2023,no fish
49,-34.0524149999018,114.909923333686,2023-03-14 09:01:38,,South-west Corner,No-take,46.5,Yes,Yes,Levi Peters,Gidget Mirrabelle,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,10/08/2023,Gidget Neunuebel,15/08/2023,tips over
83,-34.0548116668512,114.858583333302,2023-03-14 09:23:11,,South-west Corner,No-take,42.5,Yes,Yes,Levi Peters,Gidget Mirrabelle,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,10/08/2023,Gidget Neunuebel,15/08/2023,tips over and rolls around
46,-34.058146666995,114.856683333594,2023-03-14 09:31:13,,South-west Corner,No-take,43.3,Yes,Yes,Levi Peters,Gidget Mirrabelle,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,10/08/2023,Gidget Neunuebel,15/08/2023,
75,-34.0745433332451,114.874554999965,2023-03-14 09:46:29,,South-west Corner,No-take,43.6,Yes,Yes,Levi Peters,Gidget Mirrabelle,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,10/08/2023,Gidget Neunuebel,14/08/2023,Synced with LED. still check in comments
33,-34.077799999662,114.874916667088,2023-03-14 09:54:42,,South-west Corner,No-take,42.2,Yes,Yes,Levi Peters,Gidget Mirrabelle,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,11/08/2023,Gidget Neunuebel,15/08/2023,
58,-34.0789183334774,114.874499999713,2023-03-14 10:01:08,,South-west Corner,No-take,42.2,Yes,Yes,Levi Peters,Gidget Mirrabelle,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,11/08/2023,Gidget Neunuebel,16/08/2023,tips over
47,-34.0845749996556,114.867931666578,2023-03-14 10:10:36,,South-west Corner,No-take,42.8,Yes,Yes,Levi Peters,Gidget Mirrabelle,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,11/08/2023,Gidget Neunuebel,16/08/2023,
29,-34.0834649997337,114.860326666825,2023-03-14 10:21:04,,South-west Corner,No-take,44,Yes,Yes,Levi Peters,Gidget Mirrabelle,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,11/08/2023,Gidget Neunuebel,16/08/2023,
34,-34.0874366663403,114.851263333056,2023-03-14 10:32:10,,South-west Corner,No-take,44.2,Yes,Yes,Levi Peters,Gidget Mirrabelle,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,11/08/2023,Gidget Neunuebel,16/08/2023,Checked all cameras 
57,-34.0879233334443,114.838919999556,2023-03-14 10:44:22,,South-west Corner,No-take,46.6,Yes,Yes,Levi Peters,Gidget Mirrabelle,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,11/08/2023,Gidget Neunuebel,16/08/2023,
02,-34.0977716668008,114.825369999558,2023-03-14 10:58:42,,South-west Corner,No-take,49,Yes,Yes,Levi Peters,Gidget Mirrabelle,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,11/08/2023,Gidget Neunuebel,17/08/2023,
15,-34.0902133335936,114.824490000024,2023-03-14 11:09:17,,South-west Corner,No-take,50.4,Yes,Yes,Levi Peters,Gidget Mirrabelle,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,11/08/2023,Gidget Neunuebel,17/08/2023,
21,-34.0887766663764,114.828779999885,2023-03-14 11:18:40,,South-west Corner,No-take,47.5,Yes,Yes,Levi Peters,Gidget Mirrabelle,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,11/08/2023,Gidget Neunuebel,17/08/2023,Checked all cameras 
78,-34.0873766666531,114.829699999601,2023-03-14 11:26:48,,South-west Corner,No-take,48.2,Yes,Yes,Levi Peters,Gidget Mirrabelle,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,11/08/2023,Gidget Neunuebel,17/08/2023,
71,-34.0847650000939,114.82440333326,2023-03-14 11:37:29,,South-west Corner,No-take,49.8,Yes,Yes,Levi Peters,Gidget Mirrabelle,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,11/08/2023,Gidget Neunuebel,17/08/2023,
17,-34.0814533333161,114.82032999986,2023-03-14 11:48:17,,South-west Corner,No-take,50.1,Yes,Yes,Levi Peters,Gidget Mirrabelle,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,11/08/2023,Gidget Neunuebel,17/08/2023,tips over
69,-34.063081666354,114.830508333338,2023-03-14 12:01:57,,South-west Corner,No-take,47.5,Yes,Yes,Levi Peters,Gidget Mirrabelle,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,11/08/2023,Gidget Neunuebel,17/08/2023,Resynced and checked cameras
30,-34.0618733335048,114.822336666423,2023-03-14 12:14:17,,South-west Corner,No-take,48.9,Yes,Yes,Levi Peters,Gidget Mirrabelle,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,11/08/2023,Gidget Neunuebel,17/08/2023,
26,-34.0579383330569,114.809124999809,2023-03-14 12:28:13,,South-west Corner,No-take,51.3,Yes,Yes,Levi Peters,Gidget Mirrabelle,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,11/08/2023,Gidget Neunuebel,18/08/2023,
76,-34.0633666666171,114.804168333226,2023-03-14 12:40:29,,South-west Corner,No-take,52.3,Yes,Yes,Levi Peters,Gidget Mirrabelle,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,11/08/2023,Gidget Neunuebel,18/08/2023,
5,-34.0653033334073,114.806528333242,2023-03-14 12:49:28,,South-west Corner,No-take,52.3,Yes,Yes,Levi Peters,Gidget Mirrabelle,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,11/08/2023,Gidget Neunuebel,18/08/2023,Camera 5 was off re synced 
44,-34.0677500002601,114.812408333189,2023-03-14 13:05:36,,South-west Corner,No-take,50.1,Yes,Yes,Levi Peters,Gidget Mirrabelle,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,14/08/2023,Gidget Neunuebel,18/08/2023,tips over slightly
70,-34.0689666669321,114.795123333174,2023-03-14 13:20:05,,South-west Corner,No-take,55.9,Yes,Yes,Levi Peters,Gidget Mirrabelle,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,14/08/2023,Gidget Neunuebel,18/08/2023,tips over slightly
28,-34.0724199997243,114.795576667084,2023-03-14 13:29:55,,South-west Corner,No-take,56.7,Yes,Yes,Levi Peters,Daniel Agnello,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,14/08/2023,Daniel Agnello,22/08/2023,
41,-34.0783983333081,114.804821666254,2023-03-14 13:41:42,,South-west Corner,No-take,52.6,Yes,Yes,Levi Peters,Daniel Agnello,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,14/08/2023,Daniel Agnello,22/08/2023,
07,-34.0935533334819,114.800025000404,2023-03-14 13:54:37,,South-west Corner,No-take,57.5,Yes,Yes,Levi Peters,Daniel Agnello,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,14/08/2023,Daniel Agnello,22/08/2023,
50,-34.094943333422,114.779073333419,2023-03-14 14:08:49,,South-west Corner,No-take,66.9,Yes,Yes,Levi Peters,Daniel Agnello,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,17/08/2023,Daniel Agnello,22/08/2023,
24,-34.0900049996481,114.77595666627,2023-03-14 14:19:54,,South-west Corner,No-take,70.3,Yes,Yes,Levi Peters,Daniel Agnello,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,17/08/2023,Daniel Agnello,22/08/2023,Showed 59 on whiteboard
87a,-34.0900017679418,114.768268334299,2023-03-14 14:30:13,,South-west Corner,No-take,69.7,Yes,Yes,Levi Peters,Daniel Agnello,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,17/08/2023,Daniel Agnello,22/08/2023,"Showed 59 on whiteboard, GPS messed up, point on original sample point (SWC-DC-87)"
9,-34.0798000000582,114.77384333375,2023-03-14 14:42:02,,South-west Corner,No-take,68,Yes,Yes,Levi Peters,Gidget Mirrabelle,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,17/08/2023,Gidget Neunuebel,18/08/2023,Showed whiteboard 2 times. Second time right. couldnt measure any of them 
81,-34.0801766663457,114.777326666248,2023-03-14 14:51:03,,South-west Corner,No-take,65.5,Yes,Yes,Levi Peters,Gidget Mirrabelle,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,17/08/2023,Gidget Neunuebel,18/08/2023,
59,-34.0919966669305,114.772451666407,2023-03-14 15:02:53,,South-west Corner,No-take,76.1,Yes,Yes,Levi Peters,Gidget Mirrabelle,Yes,Yes,Yes,Yes,Hannah Williams,,CON1,17/08/2023,Gidget Neunuebel,18/08/2023,
60,-34.1300849996498,114.827549999648,2023-03-19 07:46:12,,South-west Corner,No-take,51.9,Yes,Yes,Levi Peters,Daniel Agnello,Yes,Yes,Yes,Yes,Hannah Williams,,"Top composited fine. Bottom composited with missing video on fancy comp, drops lots of frames (East Cam)",14/09/2023,Daniel Agnello,,Top right cam skips frames in period
C001,-34.1219300002796,114.834824999688,2023-03-19 08:00:29,,South-west Corner,No-take,48.1,Yes,Yes,Levi Peters,Daniel Agnello,Yes,Yes,Yes,Yes,Hannah Williams,,"Top composited fine. Bottom composited with missing video on fancy comp, drops lots of frames (East Cam)",14/09/2023,Daniel Agnello,,"Showed whiteboard twice, is C001"
C002,-34.1097666663104,114.839651666575,2023-03-19 08:13:03,,South-west Corner,No-take,47.7,Yes,Yes,Levi Peters,Daniel Agnello,Yes,Yes,Yes,Yes,Hannah Williams,,"Top composited fine. Bottom composited with missing video on fancy comp, drops lots of frames (East Cam)",14/09/2023,Daniel Agnello,,
40,-34.0985766663379,114.83990499957,2023-03-19 08:25:20,,South-west Corner,No-take,47.3,Yes,Yes,Levi Peters,Daniel Agnello,Yes,Yes,Yes,Yes,Hannah Williams,,"Top composited fine. Bottom composited with missing video on fancy comp, drops lots of frames (East Cam)",14/09/2023,Daniel Agnello,,Showed C003
C003,-34.0951333336528,114.833081667064,2023-03-19 08:36:33,,South-west Corner,No-take,47.1,Yes,Yes,Levi Peters,Daniel Agnello,Yes,Yes,Yes,Yes,Hannah Williams,,"Top composited fine. Bottom composited with missing video on fancy comp, drops lots of frames (East Cam)",14/09/2023,Daniel Agnello,,
C004,-34.0947100002658,114.821976666573,2023-03-19 08:51:26,,South-west Corner,No-take,50.4,Yes,Yes,Levi Peters,Daniel Agnello,Yes,Yes,Yes,Yes,Hannah Williams,,"Top composited fine. Bottom composited with missing video on fancy comp, drops lots of frames (East Cam)",14/09/2023,Daniel Agnello,,
C005,-34.0898999996333,114.808131667022,2023-03-19 09:06:34,,South-west Corner,No-take,52,Yes,Yes,Levi Peters,Daniel Agnello,Yes,Yes,Yes,Yes,Hannah Williams,,"Top composited fine. Bottom composited with missing video on fancy comp, drops lots of frames (East Cam)",14/09/2023,Daniel Agnello,,
C006,-34.0907499998745,114.79937333375,2023-03-19 09:18:54,,South-west Corner,No-take,54.7,Yes,Yes,Levi Peters,Daniel Agnello,Yes,Yes,Yes,Yes,Hannah Williams,,"Top composited fine. Bottom composited with missing video on fancy comp, drops lots of frames (East Cam)",,Daniel Agnello,,
90,-34.0903366669822,114.787640000345,2023-03-19 09:29:27,,South-west Corner,No-take,64.1,Yes,Yes,Daniel Agnello,Daniel Agnello,Yes,Yes,Yes,Yes,Hannah Williams,,"Top composited fine. Bottom composited with missing video on fancy comp, drops lots of frames (East Cam)",,Daniel Agnello,,
45,-34.0868200002836,114.788206666609,2023-03-19 09:39:38,,South-west Corner,No-take,62.8,Yes,Yes,Daniel Agnello,Daniel Agnello,Yes,Yes,Yes,Yes,Hannah Williams,,"Top composited fine. Bottom composited with missing video on fancy comp, drops lots of frames (East Cam)",,Daniel Agnello,,
C007,-34.0814933334304,114.785098333131,2023-03-19 09:51:55,,South-west Corner,No-take,64.2,Yes,Yes,Daniel Agnello,Daniel Agnello,Yes,Yes,Yes,Yes,Hannah Williams,,"Top composited fine. Bottom composited with missing video on fancy comp, drops lots of frames (East Cam)",02/08/2023,Daniel Agnello,,Resynced
87,-34.0855533330478,114.774381666252,2023-03-19 10:03:31,,South-west Corner,No-take,69.9,Yes,Yes,Daniel Agnello,Daniel Agnello,Yes,Yes,Yes,Yes,Hannah Williams,,"Top composited fine. Bottom composited with missing video on fancy comp, drops lots of frames (East Cam)",,Daniel Agnello,,
C008,-34.0958616663992,114.789528333632,2023-03-19 10:18:30,,South-west Corner,No-take,62.6,Yes,Yes,Daniel Agnello,Daniel Agnello,Yes,Yes,Yes,Yes,Hannah Williams,,"Top composited fine. Bottom composited with missing video on fancy comp, drops lots of frames (East Cam)",04/08/2023,Daniel Agnello,,video out of sync
C009,-34.1012500003036,114.796974999927,2023-03-19 10:32:32,,South-west Corner,No-take,59.6,Yes,Yes,Daniel Agnello,Daniel Agnello,Yes,Yes,Yes,Yes,Hannah Williams,,"Top composited fine. Bottom composited with missing video on fancy comp, drops lots of frames (East Cam)",,Daniel Agnello,,
C010,-34.1068366668057,114.802945000286,2023-03-19 10:45:04,,South-west Corner,No-take,57.5,Yes,Yes,Daniel Agnello,Daniel Agnello,Yes,Yes,Yes,Yes,Hannah Williams,,"Top composited fine. Bottom composited with missing video on fancy comp, drops lots of frames (East Cam)",,Daniel Agnello,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,,,,,,
